timestamp,open,high,low,close,volume
2024-11-27,1.8e-05,1.8e-05,1.8e-05,1.8e-05,0.0
2024-11-28,1.8e-05,3.2e-05,1.8e-05,3.2e-05,1360621.98
2024-11-29,1.8e-05,2.5e-05,1.8e-05,1.8e-05,32847929.35
2024-11-30,1.8e-05,2.9e-05,1.8e-05,2.9e-05,5152445.65
2024-12-01,1.9e-05,4.6e-05,1.9e-05,2.3e-05,8463152.99
2024-12-02,2.5e-05,3e-05,2.3e-05,2.3e-05,5991402.05
2024-12-03,2.3e-05,2.3e-05,2.3e-05,2.3e-05,783389.22
2024-12-04,2e-05,2e-05,2e-05,2e-05,645500.0
2024-12-05,3e-05,4e-05,3e-05,4e-05,1041666.66
2024-12-06,3.7e-05,4.3e-05,1.8e-05,4.3e-05,9655690.28
2024-12-07,4.6e-05,5.7e-05,3.4e-05,5.7e-05,20904190.54
2024-12-08,5.7e-05,5.7e-05,3e-05,3e-05,860761.42
2024-12-09,4.3e-05,5.7e-05,3.1e-05,3.1e-05,1803391.46
2024-12-10,3.1e-05,3.1e-05,3.1e-05,3.1e-05,0.01
2024-12-11,3.1e-05,3.1e-05,2.9e-05,2.9e-05,1559186.79
2024-12-12,5.3e-05,6.5e-05,5.2e-05,6.5e-05,36632605.89
2024-12-13,3e-05,6.6e-05,3e-05,6.6e-05,2127586.09
2024-12-14,3.2e-05,7.1e-05,3.2e-05,7.1e-05,31195981.91
2024-12-15,7e-05,0.00017,5.6e-05,0.00017,277027178.0
2024-12-16,0.000145,0.000266,0.000102,0.000266,870661049.37
2024-12-17,0.000247,0.000333,0.000155,0.000192,1765315834.84
2024-12-18,0.000161,0.000258,0.000161,0.000258,36447371.16
